"number","GSM","file","url"
38,"GSM1535999","[GSM1535999_IgG_input_NT_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535999/suppl/GSM1535999_IgG_input_NT_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535999/suppl/GSM1535999_IgG_input_NT_Rep1.wig.gz"
39,"GSM1536000","[GSM1536000_IgG_input_NT_Rep2.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536000/suppl/GSM1536000_IgG_input_NT_Rep2.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536000/suppl/GSM1536000_IgG_input_NT_Rep2.wig.gz"
40,"GSM1536001","[GSM1536001_L3mbt_HS_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536001/suppl/GSM1536001_L3mbt_HS_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536001/suppl/GSM1536001_L3mbt_HS_Rep1.wig.gz"
41,"GSM1536002","[GSM1536002_L3mbt_NT_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536002/suppl/GSM1536002_L3mbt_NT_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536002/suppl/GSM1536002_L3mbt_NT_Rep1.wig.gz"
42,"GSM1536003","[GSM1536003_Modmdg4_HS_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536003/suppl/GSM1536003_Modmdg4_HS_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536003/suppl/GSM1536003_Modmdg4_HS_Rep1.wig.gz"
43,"GSM1536004","[GSM1536004_Modmdg4_HS_Rep2.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536004/suppl/GSM1536004_Modmdg4_HS_Rep2.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536004/suppl/GSM1536004_Modmdg4_HS_Rep2.wig.gz"
44,"GSM1536005","[GSM1536005_Pc_RJ_HS_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536005/suppl/GSM1536005_Pc_RJ_HS_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536005/suppl/GSM1536005_Pc_RJ_HS_Rep1.wig.gz"
45,"GSM1536006","[GSM1536006_Pc_RJ_NT_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536006/suppl/GSM1536006_Pc_RJ_NT_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536006/suppl/GSM1536006_Pc_RJ_NT_Rep1.wig.gz"
46,"GSM1536007","[GSM1536007_Pc_VP_NT_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536007/suppl/GSM1536007_Pc_VP_NT_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536007/suppl/GSM1536007_Pc_VP_NT_Rep1.wig.gz"
47,"GSM1536008","[GSM1536008_Rad21_HS_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536008/suppl/GSM1536008_Rad21_HS_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536008/suppl/GSM1536008_Rad21_HS_Rep1.wig.gz"
48,"GSM1536009","[GSM1536009_Rad21_NT_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536009/suppl/GSM1536009_Rad21_NT_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536009/suppl/GSM1536009_Rad21_NT_Rep1.wig.gz"
49,"GSM1536010","[GSM1536010_Rad21_NT_Rep2.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536010/suppl/GSM1536010_Rad21_NT_Rep2.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536010/suppl/GSM1536010_Rad21_NT_Rep2.wig.gz"
50,"GSM1536011","[GSM1536011_Rad21_NT_Rep3.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536011/suppl/GSM1536011_Rad21_NT_Rep3.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536011/suppl/GSM1536011_Rad21_NT_Rep3.wig.gz"
51,"GSM1536012","[GSM1536012_RNAPII_flavopiridol_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536012/suppl/GSM1536012_RNAPII_flavopiridol_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536012/suppl/GSM1536012_RNAPII_flavopiridol_Rep1.wig.gz"
52,"GSM1536013","[GSM1536013_RNAPII_HS_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536013/suppl/GSM1536013_RNAPII_HS_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536013/suppl/GSM1536013_RNAPII_HS_Rep1.wig.gz"
53,"GSM1536014","[GSM1536014_RNAPII_NT_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536014/suppl/GSM1536014_RNAPII_NT_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536014/suppl/GSM1536014_RNAPII_NT_Rep1.wig.gz"
54,"GSM1536015","[GSM1536015_RNAPII_triptolide_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536015/suppl/GSM1536015_RNAPII_triptolide_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536015/suppl/GSM1536015_RNAPII_triptolide_Rep1.wig.gz"
55,"GSM1536016","[GSM1536016_SuHw_HS_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536016/suppl/GSM1536016_SuHw_HS_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536016/suppl/GSM1536016_SuHw_HS_Rep1.wig.gz"
56,"GSM1536017","[GSM1536017_TFIIIC_HS_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536017/suppl/GSM1536017_TFIIIC_HS_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536017/suppl/GSM1536017_TFIIIC_HS_Rep1.wig.gz"
57,"GSM1536018","[GSM1536018_TFIIIC_HS_Rep2.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536018/suppl/GSM1536018_TFIIIC_HS_Rep2.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536018/suppl/GSM1536018_TFIIIC_HS_Rep2.wig.gz"
58,"GSM1536019","[GSM1536019_TFIIIC_NT_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536019/suppl/GSM1536019_TFIIIC_NT_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536019/suppl/GSM1536019_TFIIIC_NT_Rep1.wig.gz"
59,"GSM1536020","[GSM1536020_TFIIIC_NT_Rep2.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536020/suppl/GSM1536020_TFIIIC_NT_Rep2.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536020/suppl/GSM1536020_TFIIIC_NT_Rep2.wig.gz"
60,"GSM1536021","[GSM1536021_Z4_HS_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536021/suppl/GSM1536021_Z4_HS_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536021/suppl/GSM1536021_Z4_HS_Rep1.wig.gz"
61,"GSM1536022","[GSM1536022_Z4_NT_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536022/suppl/GSM1536022_Z4_NT_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536022/suppl/GSM1536022_Z4_NT_Rep1.wig.gz"
