"number","GSM","file","url"
1,"1","[GSM763060_ZLD.1hr.peaks.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM763nnn/GSM763060/suppl/GSM763060_ZLD.1hr.peaks.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM763nnn/GSM763060/suppl/GSM763060_ZLD.1hr.peaks.bed.gz"
2,"2","[GSM763060_ZLD.1hr.raw.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM763nnn/GSM763060/suppl/GSM763060_ZLD.1hr.raw.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM763nnn/GSM763060/suppl/GSM763060_ZLD.1hr.raw.bedgraph.gz"
3,"3","[GSM763060_s_6_sequence.dm3.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM763nnn/GSM763060/suppl/GSM763060_s_6_sequence.dm3.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM763nnn/GSM763060/suppl/GSM763060_s_6_sequence.dm3.bed.gz"
4,"4","[GSM763061_ZLD.2hr.peaks.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM763nnn/GSM763061/suppl/GSM763061_ZLD.2hr.peaks.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM763nnn/GSM763061/suppl/GSM763061_ZLD.2hr.peaks.bed.gz"
5,"5","[GSM763061_ZLD.2hr.raw.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM763nnn/GSM763061/suppl/GSM763061_ZLD.2hr.raw.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM763nnn/GSM763061/suppl/GSM763061_ZLD.2hr.raw.bedgraph.gz"
6,"6","[GSM763061_s_7_sequence.dm3.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM763nnn/GSM763061/suppl/GSM763061_s_7_sequence.dm3.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM763nnn/GSM763061/suppl/GSM763061_s_7_sequence.dm3.bed.gz"
7,"7","[GSM763062_ZLD.3hr.peaks.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM763nnn/GSM763062/suppl/GSM763062_ZLD.3hr.peaks.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM763nnn/GSM763062/suppl/GSM763062_ZLD.3hr.peaks.bed.gz"
8,"8","[GSM763062_ZLD.3hr.raw.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM763nnn/GSM763062/suppl/GSM763062_ZLD.3hr.raw.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM763nnn/GSM763062/suppl/GSM763062_ZLD.3hr.raw.bedgraph.gz"
9,"9","[GSM763062_s_8_sequence.dm3.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM763nnn/GSM763062/suppl/GSM763062_s_8_sequence.dm3.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM763nnn/GSM763062/suppl/GSM763062_s_8_sequence.dm3.bed.gz"
