"number","GSM","file","url"
1,"GSM1536376","[GSM1536376_WT.NC12.pSer5.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536376/suppl/GSM1536376_WT.NC12.pSer5.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536376/suppl/GSM1536376_WT.NC12.pSer5.bed.gz"
2,"GSM1536379","[GSM1536379_WT.NC13.pSer5.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536379/suppl/GSM1536379_WT.NC13.pSer5.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536379/suppl/GSM1536379_WT.NC13.pSer5.bed.gz"
3,"GSM1536380","[GSM1536380_WT.NC13.Rpa70.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536380/suppl/GSM1536380_WT.NC13.Rpa70.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536380/suppl/GSM1536380_WT.NC13.Rpa70.bed.gz"
4,"GSM1536382","[GSM1536382_WT.NC14E.pSer5.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536382/suppl/GSM1536382_WT.NC14E.pSer5.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536382/suppl/GSM1536382_WT.NC14E.pSer5.bed.gz"
5,"GSM1536384","[GSM1536384_WT.NC14M.pSer5.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536384/suppl/GSM1536384_WT.NC14M.pSer5.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536384/suppl/GSM1536384_WT.NC14M.pSer5.bed.gz"
6,"GSM1536386","[GSM1536386_WT.NC14L.pSer5.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536386/suppl/GSM1536386_WT.NC14L.pSer5.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536386/suppl/GSM1536386_WT.NC14L.pSer5.bed.gz"
7,"GSM1536388","[GSM1536388_mei41.NC13.pSer5.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536388/suppl/GSM1536388_mei41.NC13.pSer5.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536388/suppl/GSM1536388_mei41.NC13.pSer5.bed.gz"
8,"GSM1536390","[GSM1536390_zld.NC13.pSer5.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536390/suppl/GSM1536390_zld.NC13.pSer5.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536390/suppl/GSM1536390_zld.NC13.pSer5.bed.gz"
9,"GSM1536391","[GSM1536391_zld.NC13.Rpa70.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536391/suppl/GSM1536391_zld.NC13.Rpa70.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1536nnn/GSM1536391/suppl/GSM1536391_zld.NC13.Rpa70.bed.gz"
