"number","GSM","file","url"
40,"GSM14249072","[GSM1424907_Dmel-H3K4me1-c14c.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424907/suppl/GSM1424907_Dmel-H3K4me1-c14c.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424907/suppl/GSM1424907_Dmel-H3K4me1-c14c.wig.gz"
41,"GSM14249081","[GSM1424908_Dmel-H3K4me3-c8-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424908/suppl/GSM1424908_Dmel-H3K4me3-c8-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424908/suppl/GSM1424908_Dmel-H3K4me3-c8-peaks.xls.gz"
42,"GSM14249082","[GSM1424908_Dmel-H3K4me3-c8.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424908/suppl/GSM1424908_Dmel-H3K4me3-c8.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424908/suppl/GSM1424908_Dmel-H3K4me3-c8.wig.gz"
43,"GSM14249091","[GSM1424909_Dmel-H3K4me3-c12-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424909/suppl/GSM1424909_Dmel-H3K4me3-c12-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424909/suppl/GSM1424909_Dmel-H3K4me3-c12-peaks.xls.gz"
44,"GSM14249092","[GSM1424909_Dmel-H3K4me3-c12.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424909/suppl/GSM1424909_Dmel-H3K4me3-c12.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424909/suppl/GSM1424909_Dmel-H3K4me3-c12.wig.gz"
45,"GSM14249101","[GSM1424910_Dmel-H3K4me3-c14a-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424910/suppl/GSM1424910_Dmel-H3K4me3-c14a-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424910/suppl/GSM1424910_Dmel-H3K4me3-c14a-peaks.xls.gz"
46,"GSM14249102","[GSM1424910_Dmel-H3K4me3-c14a.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424910/suppl/GSM1424910_Dmel-H3K4me3-c14a.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424910/suppl/GSM1424910_Dmel-H3K4me3-c14a.wig.gz"
47,"GSM14249111","[GSM1424911_Dmel-H3K4me3-c14c-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424911/suppl/GSM1424911_Dmel-H3K4me3-c14c-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424911/suppl/GSM1424911_Dmel-H3K4me3-c14c-peaks.xls.gz"
48,"GSM14249112","[GSM1424911_Dmel-H3K4me3-c14c.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424911/suppl/GSM1424911_Dmel-H3K4me3-c14c.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424911/suppl/GSM1424911_Dmel-H3K4me3-c14c.wig.gz"
49,"GSM14249121","[GSM1424912_Dmel-H3K9ac-c8-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424912/suppl/GSM1424912_Dmel-H3K9ac-c8-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424912/suppl/GSM1424912_Dmel-H3K9ac-c8-peaks.xls.gz"
