"number","GSM","file","url"
44,"GSM22197212","[GSM2219721_ssm_NC12.06_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219721/suppl/GSM2219721_ssm_NC12.06_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219721/suppl/GSM2219721_ssm_NC12.06_all.peaks.nucmap_combined.bed.gz"
45,"GSM22197213","[GSM2219721_ssm_NC12_06_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219721/suppl/GSM2219721_ssm_NC12_06_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219721/suppl/GSM2219721_ssm_NC12_06_open.wig.gz"
46,"GSM22197241","[GSM2219724_ssm_NC12.09_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219724/suppl/GSM2219724_ssm_NC12.09_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219724/suppl/GSM2219724_ssm_NC12.09_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
47,"GSM22197242","[GSM2219724_ssm_NC12.09_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219724/suppl/GSM2219724_ssm_NC12.09_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219724/suppl/GSM2219724_ssm_NC12.09_all.peaks.nucmap_combined.bed.gz"
48,"GSM22197243","[GSM2219724_ssm_NC12_09_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219724/suppl/GSM2219724_ssm_NC12_09_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219724/suppl/GSM2219724_ssm_NC12_09_open.wig.gz"
49,"GSM22197271","[GSM2219727_ssm_NC13.03_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219727/suppl/GSM2219727_ssm_NC13.03_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219727/suppl/GSM2219727_ssm_NC13.03_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
50,"GSM22197272","[GSM2219727_ssm_NC13.03_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219727/suppl/GSM2219727_ssm_NC13.03_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219727/suppl/GSM2219727_ssm_NC13.03_all.peaks.nucmap_combined.bed.gz"
51,"GSM22197273","[GSM2219727_ssm_NC13_03_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219727/suppl/GSM2219727_ssm_NC13_03_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219727/suppl/GSM2219727_ssm_NC13_03_open.wig.gz"
52,"GSM22197301","[GSM2219730_ssm_NC13.06_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219730/suppl/GSM2219730_ssm_NC13.06_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219730/suppl/GSM2219730_ssm_NC13.06_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
53,"GSM22197302","[GSM2219730_ssm_NC13.06_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219730/suppl/GSM2219730_ssm_NC13.06_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219730/suppl/GSM2219730_ssm_NC13.06_all.peaks.nucmap_combined.bed.gz"
54,"GSM22197303","[GSM2219730_ssm_NC13_06_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219730/suppl/GSM2219730_ssm_NC13_06_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219730/suppl/GSM2219730_ssm_NC13_06_open.wig.gz"
